Transaction_ID,Date,Customer_ID,Age,Gender,Category,Price_USD,Quantity,Total_Spend_USD,Discount_Pct,Payment_Method,Rating,Is_Repeat_Customer
TXN-10000,2025-01-01 10:00:00,CUST-2824,35,Male,Electronics,24.19,5,120.95,0,UPI/NetBanking,,0
TXN-10001,2025-01-01 11:00:00,CUST-9279,53,Male,Home & Kitchen,81.92,2,163.84,5,Credit Card,4.2,1
TXN-10002,2025-01-01 12:00:00,CUST-5552,66,Male,Electronics,23.65,3,70.95,10,Debit Card,3.8,1
TXN-10003,2025-01-01 13:00:00,CUST-7201,36,Female,Home & Kitchen,183.16,5,915.8,0,Credit Card,4.5,1
TXN-10004,2025-01-01 14:00:00,CUST-2654,47,Female,Fashion,54.3,2,108.6,10,PayPal,2.2,0
TXN-10005,2025-01-01 15:00:00,CUST-3803,33,Male,Fashion,402.48,5,2012.4,0,Credit Card,5.0,1
TXN-10006,2025-01-01 16:00:00,CUST-7572,31,Female,Home & Kitchen,122.57,2,245.14,10,UPI/NetBanking,4.6,1
TXN-10007,2025-01-01 17:00:00,CUST-5339,65,Female,Electronics,89.67,5,448.35,5,Credit Card,3.9,0
TXN-10008,2025-01-01 18:00:00,CUST-2796,28,Female,Fashion,20.58,4,82.32,10,UPI/NetBanking,4.2,1
TXN-10009,2025-01-01 19:00:00,CUST-1188,25,Female,Fashion,41.38,3,124.14,0,UPI/NetBanking,5.0,0
TXN-10010,2025-01-01 20:00:00,CUST-9201,50,Female,Beauty,45.13,5,225.65,10,Credit Card,3.8,1
TXN-10011,2025-01-01 21:00:00,CUST-9689,56,Male,Electronics,239.95,3,719.85,0,Credit Card,5.0,1
TXN-10012,2025-01-01 22:00:00,CUST-9727,26,Female,Sports,30.34,5,151.7,20,UPI/NetBanking,4.7,1
TXN-10013,2025-01-01 23:00:00,CUST-4295,43,Non-Binary,Home & Kitchen,64.0,5,320.0,5,Credit Card,5.0,1
TXN-10014,2025-01-02 00:00:00,CUST-1117,58,Male,Electronics,17.71,3,53.13,0,Credit Card,4.3,0
TXN-10015,2025-01-02 01:00:00,CUST-3167,54,Female,Electronics,69.44,4,277.76,0,Credit Card,3.5,1
TXN-10016,2025-01-02 02:00:00,CUST-2612,64,Male,Beauty,39.3,2,78.6,10,Credit Card,4.6,1
TXN-10017,2025-01-02 03:00:00,CUST-2235,53,Male,Home & Kitchen,81.11,1,81.11,25,COD,4.6,0
TXN-10018,2025-01-02 04:00:00,CUST-7570,28,Male,Sports,41.19,4,164.76,0,PayPal,4.9,1
TXN-10019,2025-01-02 05:00:00,CUST-8973,36,Male,Electronics,128.12,1,128.12,15,Credit Card,2.8,0
TXN-10020,2025-01-02 06:00:00,CUST-9320,29,Male,Electronics,183.23,4,732.92,0,Debit Card,4.2,1
TXN-10021,2025-01-02 07:00:00,CUST-2343,55,Female,Fashion,40.68,3,122.04,0,UPI/NetBanking,4.0,1
