Date,Close_Price_USD,Daily_Volume,Market_Sentiment_Score,RSI_14,Daily_Return_Pct
2023-01-02,148.08,619698,0.12,70.6,0.0
2023-01-03,146.86,3899241,0.74,26.2,-0.82
2023-01-04,150.0,2486886,0.92,59.4,2.14
2023-01-05,148.35,2983360,0.32,37.0,-1.1
2023-01-06,146.11,536666,0.42,76.2,-1.51
2023-01-09,144.59,3353044,0.66,54.8,-1.04
2023-01-10,151.34,2280448,0.71,62.3,4.67
2023-01-11,148.55,4587672,0.63,66.1,-1.84
2023-01-12,145.51,2315189,0.27,33.9,-2.05
2023-01-13,147.35,2107980,0.69,54.6,1.26
2023-01-16,145.76,3948220,0.38,22.1,-1.08
2023-01-17,141.88,2548468,0.45,44.0,-2.66
2023-01-18,139.29,1692163,0.76,76.9,-1.83
2023-01-19,134.33,645726,0.76,31.0,-3.56
2023-01-20,133.86,4225570,0.37,42.5,-0.35
2023-01-23,133.65,1373953,0.55,47.5,-0.16
2023-01-24,131.72,4377443,0.34,21.4,-1.44
2023-01-25,130.73,1404412,0.0,30.4,-0.75
2023-01-26,133.76,2251416,0.61,35.2,2.32
2023-01-27,131.81,4489817,0.32,73.6,-1.46
2023-01-30,133.88,1119798,0.37,53.1,1.57
2023-01-31,134.56,2439537,0.67,55.3,0.51
2023-02-01,131.6,1821636,0.14,54.7,-2.2
2023-02-02,129.22,1730658,0.75,26.7,-1.81
2023-02-03,130.26,4529752,0.36,25.1,0.8
2023-02-06,131.46,966853,0.73,73.9,0.92
2023-02-07,132.46,2456001,0.6,59.1,0.76
2023-02-08,130.72,4308679,0.57,66.8,-1.31
2023-02-09,129.48,3219171,0.82,49.5,-0.95
2023-02-10,124.9,1896828,0.36,73.4,-3.54
2023-02-13,125.7,2123327,0.46,29.0,0.64
2023-02-14,124.81,716359,0.22,77.6,-0.71
2023-02-15,126.23,944729,0.48,74.1,1.14
2023-02-16,126.1,3567502,0.89,50.2,-0.1
2023-02-17,124.5,2771230,0.87,49.5,-1.27
2023-02-20,127.49,663179,0.53,58.8,2.4
2023-02-21,131.88,4190657,0.1,29.3,3.44
2023-02-22,128.31,3374283,0.1,30.6,-2.71
2023-02-23,125.93,4407215,0.57,61.7,-1.85
2023-02-24,123.22,4999169,0.56,35.7,-2.15
2023-02-27,119.56,2786605,0.66,45.0,-2.97
