Employee_ID,Age,Department,Job_Role,Education_Level,Monthly_Salary_USD,Years_At_Company,Work_Life_Balance_Score,Job_Satisfaction_1to5,Performance_Rating_1to5,OverTime,Attrition
EMP-40000,45,Sales,Manager,Masters,22470.81,20,4,4,2,No,0
EMP-40001,29,Finance,Developer,PhD,4662.91,1,1,4,5,Yes,0
EMP-40002,51,Engineering,Developer,Bachelors,9968.42,1,3,2,4,No,0
EMP-40003,49,Engineering,Director,High School,17338.71,16,4,1,5,No,0
EMP-40004,27,Marketing,Manager,Masters,10577.26,5,1,3,3,Yes,0
EMP-40005,31,Engineering,Manager,High School,7637.0,3,3,5,5,No,0
EMP-40006,51,Finance,Analyst,Bachelors,19794.94,17,1,3,4,No,0
EMP-40007,62,Finance,Specialist,Bachelors,8273.61,3,2,2,4,No,0
EMP-40008,25,Sales,Specialist,Bachelors,8488.33,1,2,3,5,No,1
EMP-40009,26,HR,Director,Masters,9857.96,6,1,4,3,No,0
EMP-40010,45,Finance,Executive,PhD,23106.1,20,4,4,2,No,0
EMP-40011,58,Sales,Analyst,High School,26173.86,24,2,4,2,Yes,0
EMP-40012,46,Sales,Manager,Masters,7411.11,2,3,3,2,No,0
EMP-40013,23,Sales,Analyst,Bachelors,8262.56,3,4,5,5,No,0
EMP-40014,57,Sales,Developer,Masters,25723.06,21,1,1,2,No,0
EMP-40015,40,Sales,Manager,Masters,5263.95,1,1,3,5,Yes,0
EMP-40016,42,HR,Director,High School,6775.13,1,4,1,5,Yes,0
EMP-40017,37,Sales,Executive,Bachelors,12511.85,10,3,4,2,No,0
EMP-40018,57,HR,Developer,PhD,21029.63,16,1,2,5,No,0
EMP-40019,34,Engineering,Developer,PhD,15460.83,11,1,1,4,No,0
EMP-40020,52,Engineering,Executive,Bachelors,20547.07,18,1,4,3,No,0
EMP-40021,22,Sales,Analyst,PhD,8990.89,1,2,1,4,No,0
EMP-40022,45,Engineering,Analyst,Bachelors,10030.24,4,4,1,2,No,0
EMP-40023,52,Marketing,Analyst,Bachelors,26512.09,24,3,1,3,No,0
EMP-40024,29,Finance,Director,PhD,6690.33,2,1,3,2,Yes,0
EMP-40025,22,Sales,Director,Bachelors,7985.65,2,3,1,4,No,0
EMP-40026,35,Engineering,Manager,High School,11840.95,7,4,5,4,No,0
EMP-40027,61,Engineering,Executive,Masters,23300.04,22,3,2,3,No,0
EMP-40028,25,Sales,Manager,High School,6510.69,1,1,2,5,Yes,0
EMP-40029,61,Engineering,Director,PhD,21218.62,18,1,5,3,No,0
EMP-40030,40,Finance,Specialist,PhD,13463.99,7,2,1,4,No,0
EMP-40031,60,Operations,Analyst,PhD,17421.29,14,1,3,2,No,0
EMP-40032,28,Finance,Specialist,Masters,6068.37,2,4,4,3,Yes,0
EMP-40033,24,Engineering,Developer,PhD,7657.79,2,2,2,3,No,0
EMP-40034,37,Engineering,Executive,High School,7454.2,1,2,4,2,Yes,1
EMP-40035,41,Engineering,Executive,High School,15580.57,13,4,5,4,No,0
EMP-40036,31,Sales,Director,Masters,11938.28,8,4,4,3,No,0
EMP-40037,35,Operations,Specialist,Masters,15942.55,9,1,5,3,Yes,0
EMP-40038,24,Sales,Developer,Bachelors,7611.49,2,4,3,2,No,0
EMP-40039,30,Engineering,Executive,High School,11397.17,4,4,4,3,No,0
EMP-40040,49,Sales,Executive,High School,9881.28,1,4,5,2,No,0
EMP-40041,59,Engineering,Director,Masters,16323.92,12,2,5,4,No,0
EMP-40042,23,Sales,Developer,High School,10309.61,3,1,5,5,No,0
EMP-40043,35,Engineering,Executive,Bachelors,15282.07,9,2,3,2,No,0
EMP-40044,44,Finance,Analyst,PhD,21990.93,17,1,3,3,Yes,0
EMP-40045,42,Sales,Director,High School,23134.17,21,2,4,2,Yes,0
EMP-40046,54,Marketing,Specialist,High School,25519.43,24,3,5,5,No,0
EMP-40047,62,Engineering,Specialist,Bachelors,23652.08,23,2,4,3,No,0
EMP-40048,43,Marketing,Manager,High School,11409.67,4,4,1,4,No,0
EMP-40049,42,Sales,Director,Bachelors,14647.1,8,4,2,2,Yes,0
EMP-40050,29,HR,Director,PhD,13282.85,7,3,3,3,Yes,0
EMP-40051,56,Engineering,Manager,Bachelors,15967.04,12,4,4,5,Yes,0
EMP-40052,22,Finance,Specialist,PhD,8095.23,2,1,3,5,No,0
EMP-40053,46,Engineering,Executive,High School,20347.75,17,3,4,4,No,0
EMP-40054,43,Marketing,Analyst,Masters,12367.48,9,4,4,3,No,0
EMP-40055,25,Operations,Manager,Masters,11982.52,4,4,5,4,Yes,0
EMP-40056,28,Engineering,Analyst,Bachelors,8097.88,4,2,5,5,No,0
EMP-40057,37,Marketing,Manager,High School,10330.62,5,2,3,4,No,0
EMP-40058,48,Engineering,Specialist,High School,10217.25,3,3,4,4,No,0
EMP-40059,41,Engineering,Director,Bachelors,15025.33,10,2,4,3,No,0
EMP-40060,22,Marketing,Developer,Bachelors,8242.74,1,3,4,2,No,0
EMP-40061,40,Marketing,Developer,Bachelors,8574.62,1,1,5,2,No,0
EMP-40062,59,Finance,Analyst,PhD,15542.25,10,1,1,5,No,0
EMP-40063,47,Engineering,Director,High School,25252.8,24,3,2,2,No,0
EMP-40064,30,Engineering,Director,High School,12124.71,4,2,2,2,No,0
EMP-40065,47,Sales,Developer,Bachelors,26598.83,24,4,1,5,No,0
EMP-40066,29,HR,Developer,Masters,11345.3,5,1,1,5,Yes,1
EMP-40067,51,Operations,Analyst,Masters,14504.94,10,3,4,4,Yes,0
EMP-40068,44,Engineering,Analyst,Masters,12758.45,10,3,1,2,No,1
EMP-40069,54,Sales,Executive,PhD,12109.99,7,4,3,4,No,0
EMP-40070,53,Finance,Executive,Masters,8063.01,2,3,3,3,No,0
EMP-40071,32,HR,Developer,Bachelors,12669.21,7,3,2,2,No,0
EMP-40072,30,Marketing,Specialist,High School,9779.05,5,2,2,3,No,0
EMP-40073,51,Sales,Specialist,PhD,27386.65,23,1,3,5,No,0
EMP-40074,62,Marketing,Specialist,PhD,19880.73,20,2,3,2,No,0
EMP-40075,50,Marketing,Director,Bachelors,7617.08,1,1,5,5,No,0
EMP-40076,33,Marketing,Manager,Masters,7255.74,2,1,2,3,No,0
EMP-40077,60,Sales,Developer,Masters,15300.13,10,1,1,4,No,0
EMP-40078,58,Sales,Analyst,PhD,12494.26,8,4,3,2,No,0
EMP-40079,36,Engineering,Analyst,PhD,12541.41,2,4,1,2,No,0
EMP-40080,26,Finance,Manager,PhD,9840.32,5,4,5,4,No,0
EMP-40081,52,Engineering,Director,Bachelors,9610.17,5,2,1,2,No,0
EMP-40082,41,Marketing,Developer,Bachelors,15202.89,11,2,4,5,Yes,0
EMP-40083,23,Sales,Executive,PhD,11462.89,3,1,4,3,No,0
EMP-40084,50,Sales,Analyst,Masters,9020.72,5,1,4,2,Yes,0
EMP-40085,52,Sales,Director,Masters,19225.7,15,4,4,4,Yes,0
EMP-40086,34,Marketing,Executive,High School,18452.32,14,1,5,4,No,0
EMP-40087,59,Sales,Manager,PhD,17215.66,15,2,5,3,No,0
EMP-40088,60,Engineering,Specialist,PhD,8735.37,4,3,2,5,No,0
EMP-40089,56,HR,Specialist,Bachelors,18303.28,12,3,2,3,No,0
EMP-40090,50,Sales,Manager,Bachelors,24389.89,22,4,3,5,No,0
EMP-40091,49,Marketing,Specialist,High School,17330.05,12,1,2,2,No,0
EMP-40092,24,Engineering,Executive,High School,7559.77,3,3,5,5,Yes,1
EMP-40093,29,Marketing,Analyst,Masters,11500.2,9,1,4,3,Yes,0
EMP-40094,43,Finance,Specialist,High School,23130.46,20,4,5,3,No,0
EMP-40095,53,Engineering,Specialist,Masters,13644.7,6,4,5,5,No,0
EMP-40096,44,Engineering,Analyst,Masters,17933.35,18,1,4,4,No,0
EMP-40097,28,Engineering,Director,PhD,10649.26,5,3,1,5,No,0
EMP-40098,58,Operations,Director,High School,9803.68,6,3,1,3,No,0
EMP-40099,26,HR,Specialist,Masters,9645.26,6,4,5,4,Yes,0
EMP-40100,42,Marketing,Executive,Masters,18880.41,12,1,2,2,No,0
EMP-40101,30,Operations,Specialist,PhD,16232.16,10,1,3,4,No,0
EMP-40102,49,Operations,Developer,High School,16588.1,13,1,1,4,Yes,0
EMP-40103,39,Operations,Developer,Bachelors,9037.35,6,4,3,4,No,0
EMP-40104,51,Sales,Director,High School,16022.97,12,2,5,5,No,0
EMP-40105,25,Engineering,Specialist,PhD,7397.36,5,1,2,3,Yes,0
EMP-40106,41,Finance,Specialist,Masters,9057.41,4,1,4,2,No,0
EMP-40107,43,Engineering,Specialist,Masters,8904.75,1,3,2,4,Yes,0
EMP-40108,53,Marketing,Developer,High School,10026.13,5,4,1,4,No,0
EMP-40109,25,Sales,Developer,High School,10244.19,5,1,2,5,No,0
EMP-40110,43,Sales,Analyst,Bachelors,6918.68,4,4,4,5,No,0
EMP-40111,58,Operations,Specialist,High School,8811.86,2,4,1,5,Yes,0
EMP-40112,26,Finance,Manager,Masters,4807.36,1,3,4,5,No,0
EMP-40113,54,Engineering,Manager,High School,15894.12,12,4,5,5,No,0
EMP-40114,33,Sales,Analyst,Masters,16399.34,12,1,5,5,Yes,0
EMP-40115,53,HR,Executive,PhD,10330.87,1,1,2,3,No,0
