Campaign_ID,Channel,Variant,Impressions,Clicks,CTR_Pct,Conversions,Conversion_Rate_Pct,Ad_Spend_USD,Revenue_Generated_USD,ROAS
CMP-50000,Email Marketing,Variant B (New Copy),136458,3274,2.4,367,11.23,6504.06,49075.24,7.55
CMP-50001,Google Ads,Variant B (New Copy),93388,1298,1.39,171,13.2,4338.48,13444.02,3.1
CMP-50002,Meta Ads,Variant B (New Copy),71604,4217,5.89,229,5.44,2138.79,29044.07,13.58
CMP-50003,LinkedIn,Variant C (Video Ad),34467,2202,6.39,210,9.55,3641.83,30118.2,8.27
CMP-50004,Email Marketing,Variant B (New Copy),127649,1901,1.49,108,5.73,6606.86,21958.56,3.32
CMP-50005,LinkedIn,Variant B (New Copy),230231,7942,3.45,973,12.26,6115.59,70250.6,11.49
CMP-50006,Email Marketing,Variant A (Control),45467,713,1.57,30,4.29,5214.05,4048.2,0.78
CMP-50007,Email Marketing,Variant C (Video Ad),156920,7014,4.47,728,10.39,4210.97,145796.56,34.62
CMP-50008,Meta Ads,Variant C (Video Ad),213352,10646,4.99,387,3.64,5355.47,40882.68,7.63
CMP-50009,Email Marketing,Variant B (New Copy),172135,9364,5.44,301,3.22,4324.19,24886.68,5.76
CMP-50010,Google Ads,Variant B (New Copy),166881,8844,5.3,1063,12.02,6710.52,172896.95,25.77
CMP-50011,Google Ads,Variant B (New Copy),43396,980,2.26,109,11.19,939.92,19036.85,20.25
CMP-50012,Meta Ads,Variant B (New Copy),86966,4087,4.7,404,9.89,4088.89,81309.04,19.89
CMP-50013,Email Marketing,Variant A (Control),177291,7552,4.26,856,11.34,4467.5,97994.88,21.94
CMP-50014,Google Ads,Variant A (Control),194355,7113,3.66,718,10.1,2557.22,98710.64,38.6
CMP-50015,LinkedIn,Variant C (Video Ad),108862,2765,2.54,113,4.12,3177.18,20658.66,6.5
CMP-50016,Google Ads,Variant C (Video Ad),75696,1347,1.78,158,11.8,5159.78,28659.62,5.55
CMP-50017,Email Marketing,Variant B (New Copy),56792,1527,2.69,139,9.13,3221.66,19868.66,6.17
CMP-50018,Email Marketing,Variant A (Control),31855,1971,6.19,90,4.59,6823.22,9911.7,1.45
CMP-50019,Email Marketing,Variant B (New Copy),127655,1978,1.55,225,11.38,5071.66,30237.75,5.96
CMP-50020,Google Ads,Variant B (New Copy),39150,485,1.24,62,12.82,5811.75,8999.3,1.55
CMP-50021,SEO Organic,Variant A (Control),197806,12244,6.19,857,7.0,904.53,115909.25,128.14
CMP-50022,SEO Organic,Variant C (Video Ad),185199,12352,6.67,440,3.57,906.53,27856.4,30.73
CMP-50023,SEO Organic,Variant C (Video Ad),179829,6168,3.43,326,5.29,1769.17,32495.68,18.37
CMP-50024,Google Ads,Variant C (Video Ad),33561,1292,3.85,65,5.1,7524.72,8412.95,1.12
CMP-50025,LinkedIn,Variant A (Control),83092,2891,3.48,344,11.91,3104.45,35204.96,11.34
CMP-50026,Meta Ads,Variant A (Control),235280,5552,2.36,685,12.34,3104.16,39812.2,12.83
CMP-50027,LinkedIn,Variant C (Video Ad),172450,2914,1.69,259,8.89,3427.54,12719.49,3.71
CMP-50028,Meta Ads,Variant B (New Copy),62378,1559,2.5,123,7.91,2669.53,14136.39,5.3
CMP-50029,Google Ads,Variant A (Control),127035,8193,6.45,389,4.75,2806.93,78725.82,28.05
CMP-50030,LinkedIn,Variant C (Video Ad),10377,161,1.56,12,7.95,3481.8,1025.16,0.29
CMP-50031,LinkedIn,Variant B (New Copy),15159,867,5.72,95,11.05,5022.64,18309.35,3.65
CMP-50032,Email Marketing,Variant B (New Copy),142978,6719,4.7,892,13.29,1901.33,50210.68,26.41
CMP-50033,LinkedIn,Variant A (Control),81837,5327,6.51,260,4.89,7511.08,24198.2,3.22
CMP-50034,SEO Organic,Variant A (Control),189588,10977,5.79,468,4.27,7363.79,67803.84,9.21
CMP-50035,LinkedIn,Variant A (Control),102054,5429,5.32,152,2.8,4309.67,7884.24,1.83
CMP-50036,Email Marketing,Variant A (Control),166912,3438,2.06,325,9.47,5204.76,37602.5,7.22
CMP-50037,Google Ads,Variant A (Control),47953,3040,6.34,88,2.9,565.95,13480.72,23.82
CMP-50038,SEO Organic,Variant A (Control),236918,5141,2.17,516,10.04,7947.5,93432.12,11.76
CMP-50039,Meta Ads,Variant C (Video Ad),79541,4327,5.44,409,9.47,5943.21,58552.44,9.85
CMP-50040,SEO Organic,Variant A (Control),179636,2335,1.3,58,2.51,4963.72,12697.36,2.56
CMP-50041,Meta Ads,Variant A (Control),158517,7909,4.99,940,11.89,5372.88,176898.6,32.92
CMP-50042,Email Marketing,Variant A (Control),93317,4161,4.46,179,4.31,7008.13,21478.21,3.06
CMP-50043,Email Marketing,Variant C (Video Ad),215875,4036,1.87,496,12.31,6943.7,75054.72,10.81
CMP-50044,LinkedIn,Variant C (Video Ad),204841,3707,1.81,272,7.36,6028.7,49030.72,8.13
CMP-50045,Google Ads,Variant A (Control),122095,2649,2.17,119,4.51,4396.44,16024.54,3.64
CMP-50046,SEO Organic,Variant A (Control),80321,2602,3.24,165,6.35,4693.0,21676.05,4.62
CMP-50047,Email Marketing,Variant A (Control),188778,9835,5.21,648,6.59,4084.19,120981.6,29.62
CMP-50048,Google Ads,Variant B (New Copy),46869,2170,4.63,315,14.52,1449.9,26765.55,18.46
CMP-50049,LinkedIn,Variant C (Video Ad),42209,1093,2.59,45,4.2,1888.19,9157.95,4.85
CMP-50050,Meta Ads,Variant B (New Copy),123186,2636,2.14,326,12.4,6908.54,55719.92,8.07
CMP-50051,LinkedIn,Variant B (New Copy),192991,11270,5.84,314,2.79,2399.48,65208.38,27.18
CMP-50052,Google Ads,Variant C (Video Ad),76502,1361,1.78,140,10.33,5421.48,8506.4,1.57
CMP-50053,Email Marketing,Variant C (Video Ad),53461,2234,4.18,187,8.4,1633.6,25961.21,15.89
CMP-50054,Meta Ads,Variant B (New Copy),84824,2850,3.36,131,4.61,7364.03,15068.93,2.05
CMP-50055,Email Marketing,Variant A (Control),166733,6552,3.93,277,4.23,3621.36,43613.65,12.04
CMP-50056,Email Marketing,Variant A (Control),47096,3127,6.64,115,3.7,7277.85,24454.75,3.36
CMP-50057,LinkedIn,Variant A (Control),234415,8485,3.62,573,6.76,7004.49,98487.24,14.06
CMP-50058,Email Marketing,Variant C (Video Ad),205590,3371,1.64,187,5.57,1101.01,19618.17,17.82
CMP-50059,Meta Ads,Variant C (Video Ad),213910,8385,3.92,883,10.54,2456.88,93377.25,38.01
CMP-50060,Google Ads,Variant B (New Copy),77676,2959,3.81,344,11.64,3709.41,34272.72,9.24
CMP-50061,LinkedIn,Variant B (New Copy),30436,371,1.22,31,8.51,2606.51,5366.72,2.06
CMP-50062,Email Marketing,Variant C (Video Ad),94342,2094,2.22,118,5.67,1659.77,10405.24,6.27
CMP-50063,Meta Ads,Variant B (New Copy),88356,5195,5.88,581,11.2,6111.9,54387.41,8.9
