User_ID,Tenure_Months,Monthly_Charges_USD,Total_Charges_USD,Support_Tickets,Daily_Active_Hours,Plan_Type,Contract_Type,Churn
USR-20000,48,145.89,6605.32,2,8.1,Pro,Month-to-Month,0
USR-20001,21,246.04,4990.73,10,9.0,Basic,Two Year,0
USR-20002,22,120.17,2573.58,1,1.4,Basic,One Year,0
USR-20003,24,289.44,6523.76,2,0.3,Enterprise,Month-to-Month,1
USR-20004,41,218.95,9045.84,3,3.0,Basic,Month-to-Month,0
USR-20005,33,284.17,8734.03,11,0.2,Basic,Two Year,0
USR-20006,4,215.41,811.03,3,1.9,Enterprise,Month-to-Month,0
USR-20007,18,218.62,3659.62,0,0.8,Basic,One Year,0
USR-20008,4,32.85,134.45,4,1.6,Enterprise,Two Year,0
USR-20009,23,290.98,6682.91,3,1.3,Pro,Month-to-Month,0
USR-20010,32,56.96,1773.79,1,0.8,Basic,Month-to-Month,0
USR-20011,44,128.85,5234.93,1,0.2,Enterprise,One Year,0
USR-20012,47,33.29,1569.02,2,0.1,Enterprise,Two Year,0
USR-20013,33,195.12,6675.12,1,0.5,Pro,Month-to-Month,0
USR-20014,42,120.93,5047.8,6,4.7,Basic,Month-to-Month,0
USR-20015,24,134.73,2987.74,1,2.3,Basic,Month-to-Month,0
USR-20016,36,45.86,1627.2,3,2.3,Pro,Month-to-Month,0
USR-20017,18,217.47,3660.16,6,1.1,Pro,Month-to-Month,0
USR-20018,24,262.7,5815.93,1,2.2,Pro,Month-to-Month,1
USR-20019,11,200.87,2252.46,0,1.1,Basic,Two Year,0
USR-20020,7,154.02,1024.85,2,3.2,Pro,One Year,0
USR-20021,15,113.07,1734.59,0,0.4,Basic,One Year,0
USR-20022,1,202.04,209.13,2,2.0,Basic,Two Year,1
USR-20023,25,135.99,3217.5,0,3.7,Enterprise,Month-to-Month,0
USR-20024,37,180.24,6921.25,1,6.8,Basic,Month-to-Month,0
USR-20025,28,114.14,3091.83,1,0.2,Basic,Month-to-Month,0
USR-20026,17,154.71,2565.91,0,2.1,Basic,Month-to-Month,0
USR-20027,36,31.64,1073.76,3,1.0,Pro,One Year,0
USR-20028,34,242.12,8089.42,6,4.2,Pro,Month-to-Month,0
USR-20029,33,147.85,4802.27,1,2.7,Enterprise,Month-to-Month,0
USR-20030,31,75.21,2338.24,1,2.5,Pro,One Year,0
USR-20031,31,174.43,5499.23,2,1.1,Basic,Two Year,0
USR-20032,38,159.48,5700.78,2,1.6,Enterprise,One Year,0
USR-20033,9,75.38,685.53,0,0.5,Pro,Month-to-Month,0
USR-20034,15,66.51,1031.03,0,0.6,Enterprise,One Year,0
USR-20035,48,262.26,12711.0,0,2.9,Pro,One Year,0
USR-20036,48,33.51,1486.77,1,0.4,Pro,Month-to-Month,0
USR-20037,46,148.49,6578.5,7,3.9,Basic,Month-to-Month,0
USR-20038,9,165.89,1448.45,5,1.9,Basic,Two Year,1
USR-20039,46,244.11,10641.75,4,2.2,Enterprise,Month-to-Month,0
USR-20040,9,237.32,2140.27,3,3.7,Enterprise,Month-to-Month,0
USR-20041,39,41.03,1653.59,2,1.3,Pro,Month-to-Month,0
USR-20042,26,73.78,1895.45,4,1.1,Basic,Month-to-Month,0
USR-20043,36,268.89,10031.04,1,0.4,Basic,Month-to-Month,0
USR-20044,26,127.74,3079.63,2,5.0,Basic,Month-to-Month,0
USR-20045,26,294.51,7673.98,2,1.0,Basic,Month-to-Month,0
USR-20046,25,75.15,1771.23,5,1.8,Pro,Month-to-Month,0
USR-20047,17,88.43,1457.18,0,3.5,Basic,Month-to-Month,0
USR-20048,33,201.77,6888.76,2,2.4,Enterprise,One Year,0
USR-20049,27,69.82,1788.64,1,3.0,Basic,Month-to-Month,0
USR-20050,16,269.58,4340.97,8,1.4,Enterprise,Two Year,0
USR-20051,24,173.53,3943.95,1,1.1,Pro,Month-to-Month,1
USR-20052,24,259.04,6114.26,1,1.8,Basic,Month-to-Month,0
USR-20053,45,182.19,7806.89,1,2.2,Enterprise,One Year,0
USR-20054,41,120.58,4666.55,9,2.1,Enterprise,Month-to-Month,0
USR-20055,47,190.54,8779.27,8,0.5,Basic,Month-to-Month,0
USR-20056,24,35.96,866.26,0,1.6,Pro,Two Year,0
USR-20057,22,80.04,1704.34,0,5.1,Basic,Month-to-Month,0
USR-20058,8,260.42,1976.57,2,1.8,Enterprise,Month-to-Month,0
USR-20059,19,44.2,839.9,1,2.7,Pro,Month-to-Month,0
USR-20060,8,111.26,852.7,1,2.8,Pro,Month-to-Month,0
USR-20061,44,273.98,11134.09,3,4.3,Pro,Month-to-Month,0
USR-20062,8,51.43,414.56,1,1.5,Pro,One Year,0
USR-20063,12,146.89,1813.27,4,1.3,Pro,One Year,1
USR-20064,32,82.37,2730.16,5,3.8,Basic,One Year,0
USR-20065,29,154.95,4205.27,1,3.7,Basic,Month-to-Month,0
USR-20066,4,204.33,756.51,4,3.9,Pro,Two Year,1
USR-20067,24,117.87,2778.8,10,0.4,Basic,One Year,0
USR-20068,5,113.47,543.73,3,0.3,Enterprise,One Year,1
USR-20069,14,236.02,3249.73,2,0.6,Enterprise,Month-to-Month,1
USR-20070,40,123.37,4959.98,2,1.9,Basic,One Year,0
USR-20071,41,261.1,10855.95,1,4.1,Basic,Two Year,0
USR-20072,14,275.57,3618.03,0,3.8,Basic,One Year,0
USR-20073,39,194.13,6966.68,1,2.3,Enterprise,One Year,0
USR-20074,15,64.87,944.62,0,1.7,Basic,Two Year,0
USR-20075,30,42.29,1195.74,2,2.4,Enterprise,Month-to-Month,0
USR-20076,32,63.65,1970.75,1,6.4,Pro,Two Year,0
USR-20077,36,200.66,6804.39,0,6.8,Pro,Month-to-Month,0
USR-20078,17,174.21,2816.43,1,1.1,Basic,Month-to-Month,0
USR-20079,14,295.17,4288.98,0,0.9,Basic,Month-to-Month,0
USR-20080,17,299.22,4891.07,12,4.1,Pro,Two Year,1
USR-20081,23,139.35,3093.65,4,3.2,Basic,One Year,0
