Shipment_ID,Region,Carrier,Warehouse,Package_Weight_KG,Shipping_Cost_USD,Estimated_Days,Actual_Days,Delay_Days,On_Time_Delivery
SHP-60000,Europe,UPS Global,WH-West,33.6,260.86,3,3,0,1
SHP-60001,North America,UPS Global,WH-East,34.0,148.36,4,4,0,1
SHP-60002,Europe,DHL Express,WH-South,30.0,187.88,10,10,0,1
SHP-60003,Asia Pacific,DHL Express,WH-Central,17.7,108.57,8,8,0,1
SHP-60004,Latin America,DHL Express,WH-South,2.2,22.4,5,5,0,1
SHP-60005,Latin America,FedEx,WH-South,31.8,135.42,5,5,0,1
SHP-60006,Europe,UPS Global,WH-Central,33.5,196.64,4,5,1,0
SHP-60007,Asia Pacific,Regional Post,WH-South,17.7,78.64,9,12,3,0
SHP-60008,North America,DHL Express,WH-West,17.4,122.5,7,7,0,1
SHP-60009,Asia Pacific,DHL Express,WH-Central,4.8,46.54,7,7,0,1
SHP-60010,Asia Pacific,DHL Express,WH-East,14.3,96.3,8,8,0,1
SHP-60011,Asia Pacific,Regional Post,WH-Central,12.6,72.22,7,7,0,1
SHP-60012,Latin America,Regional Post,WH-Central,16.9,143.75,3,3,0,1
SHP-60013,North America,DHL Express,WH-Central,6.4,52.82,6,6,0,1
SHP-60014,North America,Regional Post,WH-South,7.8,65.63,6,6,0,1
SHP-60015,North America,Regional Post,WH-West,35.1,141.8,6,6,0,1
SHP-60016,North America,FedEx,WH-Central,43.4,367.23,10,10,0,1
SHP-60017,Latin America,Regional Post,WH-South,9.9,51.79,5,5,0,1
SHP-60018,Europe,FedEx,WH-East,32.4,194.99,7,7,0,1
SHP-60019,Europe,Regional Post,WH-East,22.8,141.77,9,9,0,1
SHP-60020,Asia Pacific,FedEx,WH-Central,40.9,186.49,10,10,0,1
SHP-60021,Asia Pacific,UPS Global,WH-Central,5.8,39.67,6,9,3,0
SHP-60022,Asia Pacific,FedEx,WH-South,6.2,42.06,2,2,0,1
SHP-60023,Asia Pacific,Regional Post,WH-East,19.5,104.37,3,3,0,1
SHP-60024,Asia Pacific,UPS Global,WH-West,16.6,133.16,2,2,0,1
SHP-60025,Latin America,FedEx,WH-West,35.3,190.63,9,9,0,1
SHP-60026,North America,DHL Express,WH-Central,43.1,356.74,10,10,0,1
